State,0,1,2,3,4,5
g011230101b00b00b00b00b12b00b00b00b00ex000ey000,-84.53173024671636,-84.71935234336621,-84.8538956153478,-84.28801204641923,-84.45490406649627,-84.5883214025184
g011230101b00b00b00b00b13b00b00b00b00ex000ey000,-891.2313318774103,-892.8224346155699,-897.4435089623356,-889.8172434990095,-894.5005607057371,-890.942773477065
g003112101b00b00b11b00b00b00b00b00b00ex000ey000,-6.133567230603043,-4.744341995205179,-6.403636600164864,-4.513676456946209,-4.632467344261427,-4.52999265453512
g003112101b00b00b12b00b00b00b00b00b00ex000ey000,-37.46869755162281,-37.63945226435964,-36.325152879158175,-20.69842663609175,-37.49097426435436,-39.217850717354565
g020010321b00b00b00b00b00b00b12b00b00ex000ey000,0.23782598918875275,0.022464645596857902,-13.34000735039748,2.0814574839388866,0.016388186054052234,0.569875620282858
g020010321b00b00b00b00b00b00b13b00b00ex000ey000,0.2545482103870137,0.24272753006292644,0.27515380054725547,0.19496770466347102,0.8165818813162968,10.316198448104403
g020010021b00b00b00b00b00b00b00b00b00ex000ey000,0.10272275927371421,0.7489897904639973,0.7876787099054366,0.8365399058053767,0.8431712246421138,34.96570165118097
g011032101b00b00b00b00b13b00b00b00b00ex000ey000,-299.95143499005275,-595.6738244477119,-595.6734480689588,-596.4200361313178,-598.4728066676862,-598.5512328014347
g011030121b00b00b00b00b13b00b00b00b00ex000ey000,-299.85019806673654,-267.34981984037574,-299.29579157196235,-586.4340872496058,-299.35590850676016,-299.4035135178679
g003112121b00b00b11b00b00b00b00b00b00ex000ey000,0.39229151178709076,0.2826173517045165,1.3948449781226269,0.39100438696210804,0.31312871593949976,0.38940305403665737
g003112121b00b00b12b00b00b00b00b00b00ex000ey000,-18.44314332180042,-25.84611879969764,-28.937992488615134,2.3121477979724205,0.22945636048786644,-23.113069279399756
g003112121b00b00b13b00b00b00b00b00b00ex000ey000,-299.85395829091783,-598.1426678834117,-300.0028322593404,-124.38194779127234,-299.9541998352667,-295.9839575574773
g021202123b00b00b00b00b00b00b00b00b13ex000ey000,0.40331960533428324,0.24386256108165938,0.21119277283681614,46.8989255995487,0.5700109590359472,0.5074055709371719
g021202120b00b00b00b00b00b00b00b00b00ex000ey000,-299.5294859088451,0.34885043607033117,0.3462289065898202,0.04133176610706091,0.15253302752350917,30.582431361545837
g011030101b00b00b00b00b13b00b00b00b00ex000ey000,-299.43880626800785,2.3655226226019117,-299.2434163047267,0.20964357736318628,-299.18706287443246,-299.33232174499045
