circle_5_10,0,1,2,3,4,5
0012100201111-03+03,-51.353,-32.536,-28.975,-35.449,-42.664,-29.07
0120110121001-02+04,-26.791,-27.842,-30.711,-30.345,-29.798,-24.887
2101113021111-03+04,-38.568,-39.951,-38.917,-39.841,-36.689,-94.114
0012130201111-04+03,-21.085,-42.552,-28.901,-23.513,-54.289,-24.543
0012130201111-04+02,-61.422,-100.819,-58.73,-36.162,-104.193,-99.917
0012160201111-04+02,-30.912,-51.653,-59.199,-72.662,-76.73,-37.381
0712177201111-04+02,-5.97,-3.05,-3.05,-3.05,-3.0,0.0
0101110021111-04+04,-40.266,-45.546,-27.345,-10.647,-27.347,-30.012
0101110021111-04+03,-53.072,-55.418,-11.788,-31.454,-64.629,-29.352
0101110021111-03+04,-28.163,-41.018,-67.069,-65.185,-60.712,-26.377
0012100201111-04+02,-27.921,-28.706,-28.984,-27.627,-32.147,-14.845
0100110121001-03+03,-24.64,-59.69,-54.832,-49.655,-64.356,-47.54
0101110001010-02+03,-32.99,-49.199,-30.183,-39.997,-15.28,-46.148
0101110001010-02+02,-13.258,-19.51,-26.836,-18.0,-21.871,-16.439
0101110001010-02+01,-47.224,-28.044,-28.93,-18.277,-65.876,-38.485
0101110001010-02+00,-18.565,-18.087,-14.976,-16.104,-14.045,-13.992
0101110001010-01+00,-23.803,-45.313,-19.799,-63.645,-63.511,-33.353
3100110121001-02+00,-0.515,-3.744,-9.449,-5.98,0.0,0.0
3100110121001-03+00,-0.515,-9.477,-7.236,-4.985,0.0,0.0
3100110121001-03+01,-34.753,-17.636,-25.768,-30.723,-54.668,-16.684
0101110021111-04+01,-33.323,-39.547,-31.547,-38.868,-68.585,-29.373
0012100201111-04+00,-67.795,-39.388,-57.319,-35.364,-67.604,-43.589
0012100201111-04+01,-9.442,-10.374,-14.984,-13.838,-28.42,-9.952
7101110021111-04+03,-8.635,-12.565,-10.68,-7.89,-17.229,-12.409
7101110021111-04+04,-5.977,-5.558,-6.059,-7.889,-2.051,-6.719
0100110121001-01+04,-31.287,-10.1,-14.292,-16.802,-16.12,-20.13
0100110121001+00+04,-30.015,-24.304,-33.636,-24.514,-58.702,-52.34
0101110001010+01+04,-30.398,-46.542,-27.585,-49.441,-35.03,-114.421
0101110001010+00+04,-27.752,-19.662,-18.966,-24.402,-22.014,-19.665
0101110001010-01+04,-33.414,-37.424,-22.912,-48.398,-32.255,-44.599
0100110121001-02+04,-35.264,-68.983,-47.33,-38.169,-35.433,-61.799
0101113021111-03+04,-29.768,-26.145,-28.919,-19.768,-28.675,-66.248
0012130201111-03+03,-21.738,-18.897,-67.041,-24.002,-23.634,-35.935
0012130201111-04+01,-7.417,0.0,0.0,-9.137,0.0,0.0
0012130201111-04+00,-61.561,-63.459,-52.389,-50.199,-38.823,-36.726
0012130201111-04-01,-7.483,-7.25,-9.972,0.0,0.0,0.0
0012130201111-03-01,-68.584,-23.569,-43.353,-27.701,-41.885,-74.117
0012130201111-02-01,-7.577,-7.188,-13.779,-7.454,-46.052,-7.48
0012130201111-02+00,-7.609,-7.642,-7.673,-13.679,-14.213,-7.483
0012160201111-02+00,-7.736,-7.769,-7.798,-7.83,-23.283,0.0
0712177201111-02+00,-3.0,-3.05,0.0,0.0,0.0,0.0
2101110021111+00+04,-39.085,-37.193,-26.83,-35.595,-35.641,-35.931
2101110021111+00+03,-45.111,-38.958,-36.707,-37.382,-71.103,-36.736
2010100231111+00+03,-12.252,-6.206,-6.197,-6.888,-9.539,-3.296
2101110021111-01+04,-76.287,-48.51,-50.304,-46.849,-63.01,-42.786
0122110101001+00+04,-37.58,-50.08,-42.403,-35.067,-71.601,-32.657
2010100231111-01+03,-51.512,-69.736,-67.534,-52.606,-61.949,-68.384
2010100261111-01+03,-39.555,-47.767,-53.463,-38.975,-49.009,-51.985
2010100771111-01+03,-6.41,-24.425,-5.94,-5.93,-5.92,-7.134
2101110071111-02+04,-6.477,-0.346,-0.704,-6.632,-10.538,0.0
2101110071111-03+04,-6.505,-0.372,-0.347,-0.817,-11.16,-3.965
2101110071111-04+04,-6.532,-6.892,-0.729,-6.734,-4.129,-7.733
2010100001111-04+01,-17.022,-34.008,-8.707,-14.344,-19.315,-11.471
2010100001111-03+01,-18.547,-18.039,-17.229,-16.949,-21.331,-17.997
2101110001111-02+02,-12.074,-19.698,-15.036,-19.816,-11.716,-12.078
2101113001111-02+02,-23.806,-19.655,-12.358,-12.61,-26.899,-15.65
2101113001111-03+02,-20.461,-13.21,-11.864,-13.065,-75.918,-26.442
2101113001111-04+02,-19.276,-36.564,-15.598,-21.352,-43.76,-20.238
2010130001111-04+01,-12.728,-10.315,-28.054,-10.545,-81.068,-11.815
3101300001111-04+00,-21.332,-6.82,-27.177,0.0,0.0,-7.24
6101600001111-04+00,-7.614,-7.83,-7.86,-7.419,-22.475,0.0
2010160001111-04+01,-7.691,-7.721,-7.752,-7.908,0.0,0.0
2010000011111-04-01,-6.482,-15.276,-17.91,-20.97,-26.794,-15.608
6101770001111-04+00,-7.92,-7.734,-7.762,0.0,0.0,0.0
7717177001111-04+01,-3.0,0.0,0.0,0.0,0.0,0.0
2101110001111-04+00,-27.211,-12.025,-26.916,-26.876,-28.542,-26.444
2101110001111-04+01,-49.865,-52.929,-11.156,-47.474,-46.238,-32.912
0010100001111-04-01,-23.187,-13.738,-11.527,-12.5,-14.825,-11.911
2101110001111-03+00,-33.486,-32.051,-34.093,-12.072,-88.333,-32.988
0010100001111-03-01,-15.634,-53.99,-40.061,-52.286,-66.247,-39.27
0010100001111-04+00,-29.449,-33.181,-31.736,-35.244,-97.598,-29.339
0010103001111-04+00,-20.101,-57.051,-20.46,-59.584,-22.581,-43.742
2101110301111-04+01,-47.877,-53.805,-70.092,-47.446,-55.168,-45.066
3120110101031-03+01,-61.132,-43.836,-58.306,-58.243,-63.376,-46.14
2101110601111-04+01,-41.514,-36.133,-46.336,-31.711,-70.623,-48.415
4101110601111-04+01,-7.955,0.0,0.0,0.0,0.0,0.0
4101110601111-04+02,-7.988,0.0,0.0,0.0,0.0,0.0
4101110601111-04+03,-8.021,-7.737,-7.768,-7.8,-15.876,0.0
4101110601111-04+04,-8.054,0.0,0.0,0.0,0.0,0.0
4101110601111-03+04,-8.086,-8.118,0.0,0.0,0.0,0.0
4101117771111-03+04,-3.05,0.0,0.0,0.0,0.0,0.0
0101000111111+00-04,-22.879,-27.243,-23.065,-21.748,-25.788,-26.055
0210000011111-01-03,-30.394,-15.205,-14.313,-14.088,-12.283,-12.747
2121000001111-02-01,-0.55,-5.355,-5.369,-0.186,-0.274,-3.437
3012100001111-02+00,-0.517,-10.066,-5.882,-4.992,0.0,0.0
0103110121001-02+00,-38.556,-15.366,-21.994,-35.887,-33.775,-20.69
0106110121001-02+00,-0.77,-0.733,-0.797,-0.797,-13.655,0.0
0101110621010-01+00,-40.235,-2.759,-7.925,-7.957,-7.988,-7.97
0177110121001-02+00,-0.798,-3.756,-7.229,0.0,0.0,0.0
0177110121001-03+00,-0.767,-7.254,-3.674,0.0,0.0,0.0
0177110121001-03+01,-0.735,-5.485,0.0,0.0,0.0,0.0
0177110121001-03+02,-0.706,-7.778,-7.828,0.0,0.0,0.0
0100110121001-03+04,-12.014,-16.355,-34.249,-26.704,-18.646,-41.352
0101110001111-02+04,-30.957,-56.565,-50.461,-33.988,-93.115,-32.901
0101110001111-03+04,-49.103,-58.932,-13.298,-60.689,-48.287,-72.583
0101110001111-04+04,-53.358,-25.349,-19.083,-30.06,-50.442,-26.864
0012100001111-04+03,-19.842,-14.415,-11.988,-12.064,-25.868,-13.349
0101110001111-04+03,-48.809,-55.482,-12.918,-62.412,-75.328,-54.462
0101110001111-04+02,-34.813,-37.429,-14.699,-29.632,-28.849,-31.469
0101110001111-04+01,-34.506,-77.772,-12.86,-30.986,-68.078,-44.707
0100110121001-01+00,-51.345,-24.785,-20.973,-32.96,-4.808,-30.677
3101110001111-02+00,-8.446,0.275,-6.246,-6.87,-6.847,-5.33
3101110001111-03+00,-5.467,-11.718,-5.067,-12.81,7.099,-9.863
3101110001111-04+00,-32.025,-26.339,-30.636,-24.762,-42.532,-31.305
3101113001111-04+00,-10.29,-3.127,-6.75,-10.782,-2.566,-22.013
0130110121301-03+00,-5.618,-5.636,-5.663,-5.647,-27.616,-48.624
0160110121301-03+00,-5.978,-5.991,0.0,-5.965,0.0,0.0
0160110121601-03+00,-6.004,-6.016,-6.028,-6.039,-8.068,0.0
7177117121601-03+00,0.0,-3.05,0.0,0.0,0.0,0.0
2101000111111-04+00,-4.767,-28.661,-33.135,-30.224,-27.045,-27.426
2010000011111-03+01,-20.046,-21.95,-5.514,-58.487,-82.921,-36.856
2101000001111-03+02,-38.181,-35.049,-11.514,-19.217,-30.261,-16.788
0010100001111-03+03,-45.161,-100.865,-38.619,-42.061,-17.87,-53.026
0010100001111-04+03,-17.447,-14.442,-48.041,-13.874,-19.489,-16.274
0010103001111-04+02,-19.587,-23.288,-20.671,-27.271,-86.938,-24.154
2101110301111-04+03,-35.305,-55.898,-35.784,-33.116,-67.89,-35.797
0120110101031-03+03,-35.707,-43.506,-42.9,-41.514,-51.435,-58.678
2101110601111-04+03,-36.844,-27.422,-29.929,-32.049,-38.137,-47.279
0120110101061-03+03,-48.591,-28.694,-57.242,-41.409,-28.267,-29.964
0120110101061-03+02,-7.941,-7.808,4.114,4.202,0.0,0.0
0120110101061-03+01,-7.973,-7.797,-7.985,-8.018,-8.05,-8.144
0120110101771-03+00,-7.908,0.0,0.0,0.0,0.0,0.0
0120110101771-02+00,-7.938,-7.97,-10.032,-16.087,-10.787,-8.251
