epoch,epsilon,states_viewed,avg_sum_of_rewards,win_rate
40,0.09999999999999969,164517,-33.637400000000014,0.0
41,0.08999999999999969,166923,-31.485200000000017,0.0
42,0.0799999999999997,169338,-26.336000000000006,0.0
43,0.0699999999999997,171659,-44.05320000000002,0.0
44,0.0599999999999997,173950,-23.481000000000016,0.0
45,0.0499999999999997,176097,2.997199999999982,0.0
46,0.039999999999999696,178446,-11.101600000000026,0.0
47,0.029999999999999694,180711,-13.505400000000009,0.0
48,0.01999999999999969,182791,-15.42220000000001,0.01
49,0.009999999999999691,184790,-24.19980000000001,0.0
